source_file	source_row	site	original_field	original_value	corrected_field	corrected_value	status	rationale
trip2-2023.tsv	2	1	humidity	34.5	temperature	34.5	confirmed_shifted_column	The source temperature cell is empty; the value occurs in the humidity column, follows the increasing morning-temperature sequence, and the field note states that the trip ended because of extreme temperature. The pre-existing RDF generator independently treated this source column as temperature and suppressed pressure and humidity.
trip2-2023.tsv	3	2	humidity	36.7	temperature	36.7	confirmed_shifted_column	The source temperature cell is empty; the value occurs in the humidity column, follows the increasing morning-temperature sequence, and the field note states that the trip ended because of extreme temperature. The pre-existing RDF generator independently treated this source column as temperature and suppressed pressure and humidity.
trip2-2023.tsv	4	3	humidity	37.0	temperature	37.0	confirmed_shifted_column	The source temperature cell is empty; the value occurs in the humidity column, follows the increasing morning-temperature sequence, and the field note states that the trip ended because of extreme temperature. The pre-existing RDF generator independently treated this source column as temperature and suppressed pressure and humidity.
trip2-2023.tsv	5	4	humidity	38.6	temperature	38.6	confirmed_shifted_column	The source temperature cell is empty; the value occurs in the humidity column, follows the increasing morning-temperature sequence, and the field note states that the trip ended because of extreme temperature. The pre-existing RDF generator independently treated this source column as temperature and suppressed pressure and humidity.
trip2-2023.tsv	6	5	humidity	39.2	temperature	39.2	confirmed_shifted_column	The source temperature cell is empty; the value occurs in the humidity column, follows the increasing morning-temperature sequence, and the field note states that the trip ended because of extreme temperature. The pre-existing RDF generator independently treated this source column as temperature and suppressed pressure and humidity.
trip2-2023.tsv	7	6	humidity	41.2	temperature	41.2	confirmed_shifted_column	The source temperature cell is empty; the value occurs in the humidity column, follows the increasing morning-temperature sequence, and the field note states that the trip ended because of extreme temperature. The pre-existing RDF generator independently treated this source column as temperature and suppressed pressure and humidity.
trip2-2023.tsv	8	7	humidity	41.3	temperature	41.3	confirmed_shifted_column	The source temperature cell is empty; the value occurs in the humidity column, follows the increasing morning-temperature sequence, and the field note states that the trip ended because of extreme temperature. The pre-existing RDF generator independently treated this source column as temperature and suppressed pressure and humidity.
trip2-2023.tsv	9	8	humidity	41.9	temperature	41.9	confirmed_shifted_column	The source temperature cell is empty; the value occurs in the humidity column, follows the increasing morning-temperature sequence, and the field note states that the trip ended because of extreme temperature. The pre-existing RDF generator independently treated this source column as temperature and suppressed pressure and humidity.
trip3-2024.tsv	67	12.5+A	date	17/03/2024	date	17/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 17/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	68	19.5	date	18/03/2024	date	18/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 18/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	69	27+	date	18/03/2024	date	18/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 18/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	70	31urine	date	18/03/2024	date	18/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 18/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	71	32+	date	18/03/2024	date	18/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 18/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	72	41+	date	19/03/2024	date	19/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 19/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	73	47+	date	19/03/2024	date	19/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 19/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	74	47+grass	date	19/03/2024	date	19/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 19/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	75	48+	date	19/03/2024	date	19/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 19/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	76	48+	date	19/03/2024	date	19/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 19/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	77	52AD	date	20/03/2024	date	20/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 20/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	78	54F	date	20/03/2024	date	20/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 20/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	79	35 + WaterWellRestStop	date	18/03/2024	date	18/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 18/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	80	35 + hot spring filter1	date	19/03/2024	date	19/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 19/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip3-2024.tsv	81	35 + hot spring filter 2	date	19/03/2024	date	19/03/2023	confirmed_source_workbook	The original Trip_Metadata.xlsx Trip3 worksheet records 19/03/2023. Commit ffc330ee changed only the year to 2024 without source evidence; the curated date restores the workbook value and identifies this as a Trip 1 auxiliary or revisit record.
trip5-2025.tsv	41	40	humidity	194	humidity		quarantined_out_of_range	The committed source value is outside the physical 0--100 percent range. No independent source currently establishes whether a decimal point was lost, so the curated value remains missing while the source value is preserved here.
trip1-2023.tsv	53	52	coordinates	20.851514166666668 N,53.75788444444444 E	coordinates	20.82784 N,53.57835 E	confirmed_copied_adjacent_site	The source cell repeats the Site 53 coordinates (sand dune, 53.7579 E) on the Site 52 saline-pan row, so the site module averaged Site 52 to a point between the two locations. Independent evidence places Site 52 at 20.82784 N,53.57835 E: the Trip 4 and Trip 5 field sheets record that point for Site 52; the Trip 3 OsmAnd track (website/frontend/public/tracks/2024-02-20.gpx in the empty-quarter repository) stops within 400 m of it from 16:23 to 16:30 on 20 February 2024, twelve minutes after the Site 51 stop at 16:09--16:13, and reaches the 53.7579 E point only at 06:04--06:10 on 21 February 2024, the recorded Site 53 visit; the Trip 1 route timing (Site 51 at 07:37, Site 52 at 08:02, Site 53 at 09:03) is consistent with the same ordering along the transect; and the Open-Meteo elevation at that point (87 m) equals the site_altitudes.tsv value for Site 52. Robert Hoehndorf flagged the Trip 1 and Trip 3 Site 52 coordinates for review on 2026-09-07.
trip3-2024.tsv	53	52	coordinates	20.851514166666668 N,53.75788444444444 E	coordinates	20.82784 N,53.57835 E	confirmed_copied_adjacent_site	The source cell repeats the Site 53 coordinates (sand dune, 53.7579 E) on the Site 52 saline-pan row, so the site module averaged Site 52 to a point between the two locations. Independent evidence places Site 52 at 20.82784 N,53.57835 E: the Trip 4 and Trip 5 field sheets record that point for Site 52; the Trip 3 OsmAnd track (website/frontend/public/tracks/2024-02-20.gpx in the empty-quarter repository) stops within 400 m of it from 16:23 to 16:30 on 20 February 2024, twelve minutes after the Site 51 stop at 16:09--16:13, and reaches the 53.7579 E point only at 06:04--06:10 on 21 February 2024, the recorded Site 53 visit; the Trip 1 route timing (Site 51 at 07:37, Site 52 at 08:02, Site 53 at 09:03) is consistent with the same ordering along the transect; and the Open-Meteo elevation at that point (87 m) equals the site_altitudes.tsv value for Site 52. Robert Hoehndorf flagged the Trip 1 and Trip 3 Site 52 coordinates for review on 2026-09-07. The recorded Trip 3 time 06:57 does not match the track; the field-sheet time is retained as recorded.
trip3-2024.tsv	77	52AD	coordinates	20.851514166666668 N,53.75788444444444 E	coordinates	20.82784 N,53.57835 E	confirmed_copied_adjacent_site	The auxiliary record repeats the Trip 1 Site 52 row (same date, time 08:02 and coordinates) and therefore inherits the same copied Site 53 coordinates; corrected to the Site 52 location established for the primary Trip 1 and Trip 3 rows. The source cell repeats the Site 53 coordinates (sand dune, 53.7579 E) on the Site 52 saline-pan row, so the site module averaged Site 52 to a point between the two locations. Independent evidence places Site 52 at 20.82784 N,53.57835 E: the Trip 4 and Trip 5 field sheets record that point for Site 52; the Trip 3 OsmAnd track (website/frontend/public/tracks/2024-02-20.gpx in the empty-quarter repository) stops within 400 m of it from 16:23 to 16:30 on 20 February 2024, twelve minutes after the Site 51 stop at 16:09--16:13, and reaches the 53.7579 E point only at 06:04--06:10 on 21 February 2024, the recorded Site 53 visit; the Trip 1 route timing (Site 51 at 07:37, Site 52 at 08:02, Site 53 at 09:03) is consistent with the same ordering along the transect; and the Open-Meteo elevation at that point (87 m) equals the site_altitudes.tsv value for Site 52. Robert Hoehndorf flagged the Trip 1 and Trip 3 Site 52 coordinates for review on 2026-09-07.
