artifact_status	superseded_by	supersession_reason	compartment	compartment_label	window_days	n_site_campaigns	n_sites	estimate_per_mm	std_error	ci_low	ci_high	p	residual_moran_i	residual_moran_p	q_within_compartment	q_global	n_tests_in_global_family
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	1	198	60	-0.006463223635486515	0.17275055852313237	-0.34504809665000485	0.3321216493790318	0.9701552136196392	0.2282581333736999	0.001	0.9701552136196391	0.9701552136196392	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	3	198	60	0.10983554468523597	0.07311722127915453	-0.03347157567155255	0.2531426650420245	0.13304950837357604	0.22896379103971048	0.001	0.19957426256036406	0.4789782301448738	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	7	198	60	-0.060030943393007886	0.026301240806286198	-0.11158042812204405	-0.008481458663971729	0.02246351209612331	0.21966917812673498	0.001	0.0922778555708326	0.18455571114166516	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	10	198	60	-0.036386162332306134	0.016844097010472073	-0.06939998582493019	-0.0033723388396820764	0.03075928519027753	0.22335624003549248	0.001	0.0922778555708326	0.18455571114166516	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	14	198	60	-0.022684196838725766	0.017035918480248206	-0.05607398350357258	0.010705589826121048	0.18300772639780627	0.22668592104187932	0.001	0.21960927167736752	0.5490231791934188	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	30	198	60	-0.027076477871524743	0.01777718446050171	-0.06191911916063321	0.007766163417583724	0.1277330103531381	0.22877274385874738	0.001	0.19957426256036406	0.4789782301448738	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	1	211	60	0.11931096410457138	0.2460406057124176	-0.362919761826187	0.6015416900353298	0.6277303454022669	0.08144797669791261	0.09	0.9444751070340078	0.8718231757236996	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	3	211	60	0.20778756588763805	0.08172666605793114	0.04760624383756096	0.36796888793771515	0.011007216847336401	0.08240200301937328	0.087	0.0660433010840184	0.18455571114166516	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	7	211	60	-0.0208000707261229	0.02761837630917827	-0.07493109360358657	0.03333095215134077	0.45137521461145946	0.07858507299153479	0.109	0.9444751070340078	0.8718231757236996	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	10	211	60	-0.003523207575134902	0.026922907611406532	-0.056291136852591	0.04924472170232119	0.895883828134789	0.08099021121576191	0.092	0.9460125836471303	0.9701552136196392	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	14	211	60	0.00829865027049725	0.017209282025849645	-0.025430922699960553	0.04202822324095505	0.6296500713560053	0.0835478132389174	0.073	0.9444751070340078	0.8718231757236996	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	30	211	60	-0.0010145043500680438	0.01498199461516453	-0.03037867421236355	0.028349665512227465	0.9460125836471303	0.08159546318786913	0.089	0.9460125836471303	0.9701552136196392	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	1	224	60	0.1709486166310068	0.275088301954325	-0.36821454776774953	0.7101117810297631	0.534315559158892	-0.0458896843452073	0.349	0.8014733387383379	0.8718231757236996	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	3	224	60	-0.020592882136852814	0.1088983534353408	-0.23402973284583445	0.19284396857212882	0.8500129768725829	-0.04596903015863179	0.347	0.8500129768725829	0.9701552136196392	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Rhizosphere	Root-adjacent	7	224	60	-0.017731001412856235	0.02515749818659464	-0.06703879179971345	0.031576788974000985	0.48093479043083565	-0.046244536703893675	0.341	0.8014733387383379	0.8718231757236996	18
